Date,GBOTS3MO Index,GBOTS6MO Index,GBOTS12M Index,GBTP2YR Index,GBTP3YR Index,GBTP4YR Index,GBTP5YR Index,GBTP6YR Index,GBTP7YR Index,GBTP8YR Index,GBTP9YR Index,GBTP10YR Index
02/11/2009,0.582,0.653,0.808,0.988,1.723,1.925,2.232,2.548,2.801,3.023,3.196,3.529
01/12/2009,0.628,0.68,0.852,0.964,1.627,1.806,2.11,2.455,2.77,2.933,3.122,3.455
04/01/2010,0.482,0.6,0.748,0.971,1.698,1.913,2.249,2.598,2.876,3.061,3.236,3.573
01/02/2010,0.61,0.733,0.905,1.243,1.985,2.324,2.49,2.553,2.86,3.042,3.189,3.515
01/03/2010,0.453,0.63,0.77,0.781,1.585,2.051,2.349,2.38,2.688,2.944,3.114,3.445
01/04/2010,0.456,0.62,0.779,0.738,1.474,1.933,2.29,2.483,2.539,2.938,3.194,3.445
03/05/2010,0.588,0.79,0.905,1.057,1.691,2.078,2.395,2.607,2.652,3.067,3.334,3.494
01/06/2010,0.845,1.019,1.101,1.43,1.952,2.368,2.619,2.749,2.935,3.27,3.474,3.66
01/07/2010,0.831,0.954,1.129,1.769,2.106,2.331,2.611,2.759,2.982,3.275,3.456,3.568
02/08/2010,0.743,0.929,1.185,1.396,1.777,1.972,2.351,2.471,2.631,3.018,3.231,3.414
01/09/2010,0.563,0.895,1.098,1.397,1.768,1.863,2.264,2.462,2.766,2.934,3.18,3.32
01/10/2010,0.842,1.064,1.381,1.579,1.952,2.101,2.432,2.604,2.827,3.016,3.262,3.381
01/11/2010,0.998,1.152,1.406,1.774,2.124,2.144,2.495,2.668,2.87,3.053,3.315,3.453
03/12/2010,1.275,1.515,1.653,2.119,2.447,2.487,2.997,3.201,3.39,3.53,3.767,3.938
03/01/2011,1.21,1.51,1.692,2.521,2.869,2.818,3.354,3.493,3.707,3.819,4.064,4.229
01/02/2011,0.817,1.193,1.518,2.175,2.761,2.755,3.305,3.417,3.607,3.726,3.984,4.145
01/03/2011,0.76,1.169,1.608,2.216,2.884,2.921,3.467,3.527,3.751,3.869,4.149,4.313
01/04/2011,0.892,1.232,1.578,2.185,2.838,2.89,3.458,3.529,3.747,3.855,4.109,4.299
02/05/2011,1.133,1.465,1.843,2.687,3.024,3.326,3.49,3.504,3.706,3.802,4.03,4.208
01/06/2011,1.127,1.456,1.844,2.669,3.018,3.306,3.475,3.435,3.74,3.854,4.012,4.123
01/07/2011,1.395,1.609,2.03,2.727,3.121,3.44,3.627,3.557,3.878,3.99,4.141,4.256
01/08/2011,1.695,2.08,2.629,4.161,4.606,4.773,4.877,4.788,5.072,5.144,5.241,5.356
01/09/2011,0.96,2.003,2.42,3.096,3.424,3.691,3.819,3.835,4.021,4.136,4.271,4.533
03/10/2011,1.404,2.377,2.993,3.681,3.98,4.298,4.514,4.512,4.753,4.87,4.918,4.907
01/11/2011,2.887,4.074,4.714,4.734,5.093,5.373,5.317,5.313,5.519,5.593,5.528,5.538
01/12/2011,4.826,5.243,5.22,6.007,6.071,6.326,6.209,6.349,6.387,6.336,6.138,5.984
02/01/2012,2.101,2.615,3.287,4.387,4.698,5.108,5.176,5.576,5.658,5.738,5.799,6.201
01/02/2012,1.246,1.484,1.946,2.873,2.884,3.508,3.729,4.184,4.429,4.68,4.822,5.008
01/03/2012,0.149,0.431,0.88,1.465,1.626,2.483,2.766,3.322,3.538,3.943,4.139,4.302
02/04/2012,0.344,0.614,1.503,2.442,3.38,3.281,3.642,3.834,3.911,4.165,4.359,4.451
02/05/2012,0.526,1.007,1.935,2.712,3.742,3.634,4.019,4.245,4.388,4.62,4.799,4.878
